Name,Joukovsky f=0% t=15%
Chord(mm),1000
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
1000.000000,0.000000
995.536260,0.069430
988.893720,0.271620
980.103290,0.648560
969.205630,1.242130
956.250860,2.089870
941.298130,3.223760
924.415130,4.669290
905.677630,6.444980
885.168850,8.561600
862.978980,11.022100
839.204560,13.821040
813.947950,16.944820
787.316760,20.371570
759.423380,24.071360
730.384450,28.006720
700.320450,32.132950
669.355290,36.398860
637.616000,40.747460
605.232350,45.116830
572.336610,49.441010
539.063340,53.651100
505.549110,57.676230
471.932360,61.444720
438.353150,64.885190
404.953030,67.927740
371.874790,70.505060
339.262290,72.553560
307.260220,74.014370
276.013890,74.834380
245.668980,74.967010
216.371400,74.373010
188.267160,73.021370
161.502350,70.889580
136.223500,67.963670
112.578180,64.239480
90.716520,59.721800
70.793580,54.426290
52.973930,48.380310
37.438030,41.630000
24.391010,34.254690
14.065180,26.406020
6.680800,18.393190
2.274410,10.799970
0.383170,4.443270
0.000000,0.000000
0.383170,-4.443270
2.274410,-10.799970
6.680800,-18.393190
14.065180,-26.406020
24.391010,-34.254690
37.438030,-41.630000
52.973930,-48.380310
70.793580,-54.426290
90.716520,-59.721800
112.578180,-64.239480
136.223500,-67.963670
161.502350,-70.889580
188.267160,-73.021370
216.371400,-74.373010
245.668980,-74.967010
276.013890,-74.834380
307.260220,-74.014370
339.262290,-72.553560
371.874790,-70.505060
404.953030,-67.927740
438.353150,-64.885190
471.932360,-61.444720
505.549110,-57.676230
539.063340,-53.651100
572.336610,-49.441010
605.232350,-45.116830
637.616000,-40.747460
669.355290,-36.398860
700.320450,-32.132950
730.384450,-28.006720
759.423380,-24.071360
787.316760,-20.371570
813.947950,-16.944820
839.204560,-13.821040
862.978980,-11.022100
885.168850,-8.561600
905.677630,-6.444980
924.415130,-4.669290
941.298130,-3.223760
956.250860,-2.089870
969.205630,-1.242130
980.103290,-0.648560
988.893720,-0.271620
995.536260,-0.069430
1000.000000,0.000000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.383170,0.000000
2.274410,0.000000
6.680800,0.000000
14.065180,0.000000
24.391010,0.000000
37.438030,0.000000
52.973930,0.000000
70.793580,0.000000
90.716520,0.000000
112.578180,0.000000
136.223500,0.000000
161.502350,0.000000
188.267160,0.000000
216.371400,0.000000
245.668980,0.000000
276.013890,0.000000
307.260220,0.000000
339.262290,0.000000
371.874790,0.000000
404.953030,0.000000
438.353150,0.000000
471.932360,0.000000
505.549110,0.000000
539.063340,0.000000
572.336610,0.000000
605.232350,0.000000
637.616000,0.000000
669.355290,0.000000
700.320450,0.000000
730.384450,0.000000
759.423380,0.000000
787.316760,0.000000
813.947950,0.000000
839.204560,0.000000
862.978980,0.000000
885.168850,0.000000
905.677630,0.000000
924.415130,0.000000
941.298130,0.000000
956.250860,0.000000
969.205630,0.000000
980.103290,0.000000
988.893720,0.000000
995.536260,0.000000
1000.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
1000.000000,0.000000
