Name,NACA 2412 Airfoil M=2.0% P=40.0% T=12.0%
Chord(mm),1000
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),6
,
Airfoil surface,
X(mm),Y(mm)
994.521895,-104.528463
994.284668,-104.451243
993.572094,-104.218484
992.384960,-103.832279
990.725255,-103.292837
988.593973,-102.600264
985.992686,-101.758745
982.923486,-100.767496
979.388940,-99.630809
975.392920,-98.350095
970.938987,-96.929752
966.030020,-95.371086
960.671568,-93.678704
954.867296,-91.856008
948.623850,-89.906712
941.944688,-87.836207
934.837451,-85.648313
927.308683,-83.347739
919.364037,-80.938097
911.010844,-78.426190
902.257634,-75.816937
893.111946,-73.115152
883.581319,-70.325649
873.676169,-67.454550
863.403930,-64.507666
852.776013,-61.491222
841.800062,-58.409038
830.488377,-55.268440
818.849492,-52.074348
806.896702,-48.834191
794.638644,-45.551894
782.088615,-42.234888
769.258131,-38.888405
756.159598,-35.518776
742.804532,-32.131235
729.207329,-28.732320
715.378405,-25.328156
701.333254,-21.924391
687.085278,-18.527464
672.646986,-15.142709
658.032775,-11.776669
643.256150,-8.434783
628.332603,-5.122704
613.276532,-1.846971
598.101336,1.385979
582.823609,4.571386
567.455861,7.703914
552.015367,10.775713
536.515840,13.783330
520.973666,16.720017
505.402454,19.581327
489.819582,22.360404
474.238556,25.051809
458.676178,27.652769
443.146738,30.155749
427.666936,32.556983
412.251269,34.850925
396.841325,37.036677
381.471969,39.082419
366.209414,40.977170
351.068371,42.717373
336.065640,44.300256
321.217241,45.725143
306.538874,46.988370
292.044778,48.091458
277.752645,49.030537
263.675717,49.807232
249.830010,50.420864
236.229763,50.872953
222.889997,51.162927
209.824059,51.293404
197.047180,51.265800
184.572708,51.082735
172.412891,50.745937
160.582278,50.259910
149.093222,49.627379
137.956191,48.852269
127.184637,47.938196
116.789236,46.891075
106.781346,45.713735
97.170545,44.411201
87.967615,42.990386
79.181924,41.454326
70.822160,39.809147
62.896017,38.061079
55.412968,36.214153
48.379711,34.274704
41.802842,32.248072
35.688849,30.138602
30.044327,27.951635
24.872888,25.692823
20.181019,23.366513
15.972125,20.976369
12.248819,18.528149
9.016285,16.023319
6.275045,13.466852
4.027505,10.862517
2.275760,8.211100
1.021118,5.515478
0.261799,2.777852
0.000000,0.000000
0.233622,-2.780653
0.962660,-5.525897
2.184234,-8.234424
3.896355,-10.906024
6.097138,-13.539495
8.782815,-16.132429
11.950298,-18.685507
15.594717,-21.197212
19.712201,-23.666132
24.297881,-26.090748
29.345893,-28.469440
34.851266,-30.801684
40.807143,-33.085755
47.207555,-35.321025
54.044653,-37.505664
61.312363,-39.640039
69.001945,-41.721220
77.106227,-43.750465
85.616259,-45.726832
94.524190,-47.648492
103.819969,-49.515392
113.495327,-51.329681
123.539532,-53.088220
133.943218,-54.794046
144.697431,-56.446218
155.789926,-58.046466
167.210546,-59.595733
178.948250,-61.093864
190.992567,-62.544786
203.331564,-63.947246
215.952680,-65.305955
228.844871,-66.620758
241.996673,-67.895479
255.393746,-69.132632
269.025935,-70.333160
282.877696,-71.501463
296.937774,-72.639375
311.192823,-73.749515
325.629288,-74.836491
340.232826,-75.902818
354.990196,-76.950120
369.887840,-77.983007
384.911524,-79.002997
400.096735,-80.016837
415.453625,-81.004480
430.892686,-81.956517
446.401881,-82.872688
461.962786,-83.756085
477.562052,-84.609326
493.184449,-85.433828
508.812757,-86.230797
524.432633,-87.002747
540.028952,-87.750101
555.586272,-88.476261
571.088577,-89.180552
586.520426,-89.866376
601.866797,-90.533162
617.113558,-91.181433
632.243278,-91.814387
647.242035,-92.430560
662.095697,-93.030476
676.788927,-93.616548
691.305813,-94.187101
705.634107,-94.743866
719.757792,-95.286164
733.662841,-95.813526
747.336116,-96.326583
760.764478,-96.825965
773.931911,-97.310993
786.827476,-97.780519
799.438034,-98.235172
811.749452,-98.675477
823.749902,-99.099187
835.428130,-99.508135
846.771207,-99.900961
857.767985,-100.278505
868.407627,-100.638624
878.678881,-100.983149
888.570808,-101.310933
898.074351,-101.622028
907.178467,-101.916279
915.874990,-102.194839
924.154079,-102.455669
932.007466,-102.700914
939.427193,-102.929741
946.405305,-103.141311
952.934526,-103.337877
959.008889,-103.518812
964.620438,-103.683280
969.763991,-103.832746
974.434576,-103.966689
978.626017,-104.086470
982.335434,-104.190781
985.558640,-104.281193
988.290664,-104.357184
990.531503,-104.418753
992.275978,-104.467366
993.523303,-104.500931
994.272273,-104.521332
994.521895,-104.528463
,
Camber line,
X(mm),Y(mm)
1.021118,5.515478
0.115982,1.390494
0.000000,0.000000
0.681920,1.484614
1.696933,1.460241
3.199183,1.422174
5.187145,1.375021
7.659062,1.321222
10.610871,1.260361
14.039272,1.189760
17.939317,1.110159
22.306772,1.019560
27.136326,0.915253
32.421985,0.797624
38.158554,0.665057
44.338832,0.516022
50.956631,0.349049
58.003741,0.162545
65.473830,-0.046324
73.357811,-0.277921
81.648313,-0.535400
90.336046,-0.821058
99.412911,-1.135414
108.868577,-1.481094
118.694644,-1.861476
128.880062,-2.276477
139.415402,-2.729685
150.291475,-3.222444
161.495947,-3.757302
173.018570,-4.336076
184.848130,-4.960253
196.974225,-5.633110
209.384758,-6.354951
222.067321,-7.129031
235.010772,-7.956123
248.203778,-8.838818
261.632125,-9.778424
275.285654,-10.775914
289.149056,-11.833456
303.211143,-12.952254
317.458824,-14.132503
331.878740,-15.376924
346.456829,-16.685385
361.179955,-18.058497
376.034910,-19.497547
391.007697,-21.001780
406.133877,-22.577265
421.423657,-24.203418
436.788198,-25.864471
452.215706,-27.557847
467.688118,-29.283187
483.192583,-31.038398
498.714078,-32.822924
514.235738,-34.634575
529.743664,-36.471667
545.222991,-38.332119
560.658774,-40.214626
576.035170,-42.116864
591.337267,-44.037200
606.550314,-45.972476
621.660426,-47.920868
636.650689,-49.880672
651.507428,-51.848058
666.216813,-53.820674
680.763924,-55.796979
695.133101,-57.772883
709.312457,-59.746700
723.286288,-61.714764
737.040821,-63.674198
750.563276,-65.622208
763.840866,-67.556087
776.857869,-69.472370
789.603577,-71.367681
802.065179,-73.239552
814.228942,-75.084714
826.083182,-76.899513
837.617069,-78.681770
848.817927,-80.427723
859.674993,-82.134533
870.177581,-83.798633
880.314835,-85.418087
890.076098,-86.989054
899.452613,-88.508739
908.433631,-89.974189
917.011300,-91.383571
925.175948,-92.733239
932.919761,-94.021004
940.234981,-95.244150
947.113867,-96.399793
953.549455,-97.487213
959.536047,-98.503237
965.065871,-99.445269
970.134016,-100.312198
974.735708,-101.101616
978.864972,-101.812967
982.519066,-102.443637
985.693973,-102.993586
988.384944,-103.460163
990.591918,-103.843947
992.310051,-104.143186
993.538462,-104.356703
994.276040,-104.485494
994.521895,-104.528463
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
994.521895,-104.528463
